CustomerID,InternalObligorID,OriginalInternalObligorID,ObligorName,InternalCreditFacilityID,OriginalInternalCreditFacilityID,City,Country,ZipCodeForeignMailingCode,IndustryCode,IndustryCodeType,EntityIndustryCode,StockExchange,TKR,CUSIP,ObligorLEI,PSRLEI,OriginationDate,MaturityDate,CurrentMaturityDate,FacilityType,CreditFacilityPurpose,CommittedExposure,UtilizedExposureGlobal,NetSalesCurrent,NetSalesPriorYear,OperatingIncome,RetainedEarnings,ProbabilityOfDefault,LGD,EAD,ASC32620,GuarantorFlag,GuarantorName,GuarantorTIN,GuarantorInternalID,GuarantorInternalRiskRating,CollateralMarketValue,SecurityType,ParticipationFlag,ParticipationInterest,InternalRating,TIN,OtherFacilityType,OtherFacilityPurpose,LineReportedOnFRY9C,LineOfBusiness,CumulativeChargeoffs,PastDue,NonAccrualDate,LienPosition,InterestRateVariability,InterestRate,InterestRateIndex,InterestRateSpread,InterestRateCeiling,InterestRateFloor,TaxStatus,EntityInternalID,EntityName,EntityInternalRiskRating,DateFinancials,DateLastAudit,DepreciationAmortization,InterestExpense,NetIncomeCurrent,NetIncomePriorYear,CashMarketableSecurities,AccountsReceivableCurrent,AccountsReceivablePriorYear,InventoryCurrent,InventoryPriorYear,CurrentAssetsCurrent,CurrentAssetsPriorYear,TangibleAssets,FixedAssets,TotalAssetsCurrent,TotalAssetsPriorYear,AccountsPayableCurrent,AccountsPayablePriorYear,ShortTermDebt,CurrentMaturitiesLongTermDebt,CurrentLiabilitiesCurrent,CurrentLiabilitiesPriorYear,LongTermDebt,MinorityInterest,TotalLiabilities,CapitalExpenditures,SNCInternalCreditID,LOCOM,CommittedExposureGlobalParValue,UtilizedExposureGlobalParValue,CommittedExposureGlobalFairValue,UtilizedExposureGlobalFairValue,SpecialPurposeEntityFlag,RenewalDate,CreditFacilityCurrency,PrepaymentPenaltyFlag,LeveragedLoanFlag,DispositionFlag,DispositionScheduleShift,SyndicatedLoanFlag,TargetHold,PCDNoncreditDiscount
CUST-95301806,IOB-95301806,IOB-95301806,Black Group,FAC-95301806,FAC-95301806,Lake Johnstad,GB,25819,488510,1,488510,NASDAQ,BJNX,NA,549300FYOMTEHUYFBBNT,549300FYOMTEHUYFBBNT,2020-04-08,2022-04-08,2022-04-08,6,11,$11.49M,$6.05M,59747849,56558732,10857211,8984313,0.1271,0.1218,9920748,177835,4,,,NA,NA,$24.09M,0,1,1.0,AA,574573216,NA,NA,8,Corporate Banking,0,0,9999-12-31,1,2,0.0588,2,0.0211,NONE,NONE,2,ENT-95301806,Black Group,AA,2025-02-20,2024-02-21,1093901,422313,10434898,10013401,5901951,11058236,9691065,13777046,11940511,30737233,33893768,37082752,24335119,92155104,97600405,9943307,11126392,12857718,8967403,31768428,27053675,47202405,NA,78970833,4192688,NA,3,NA,NA,NA,NA,1,2025-01-10,USD,2,1,0,NA,3,0.2846,408385
CUST-39882738,IOB-39882738,IOB-39882738,Mullins-Frank,FAC-39882738,FAC-39882738,Matthewside,US,99307,541511,1,541511,NYSE,RHZN,NA,549300LWIKYGMNOBYGTA,549300LWIKYGMNOBYGTA,2021-03-15,2023-03-15,2023-03-15,6,11,$14.36M,$8.90M,79259209,75374024,13486921,7598193,0.25,0.1765,13285908,633773,4,,,NA,NA,$27.88M,0,5,0.8476,BBB,411479898,NA,NA,5,Small Business,147223,120,2024-12-22,1,2,0.0545,1,0.0185,0.1045,NONE,1,ENT-39882738,Mullins-Frank,BBB,2024-06-14,2023-11-04,1570236,781889,12705032,13334682,8108735,10769982,11988714,14999370,16424007,33878087,33259489,59506052,46372337,139756476,131428857,8877511,8884756,11606919,11726316,32210746,31088760,48936311,9895321,81147057,5179317,SNC-39882738,3,NA,NA,NA,NA,1,2025-01-27,USD,3,2,0,NA,0,NA,0
CUST-27759573,IOB-27759573,IOB-27759573,Collins Group,FAC-27759573,FAC-27759573,Gomezview,GB,93295,541511,1,541511,NYSE,EBCH,NA,549300MQRKDMKSVVCOIP,549300MQRKDMKSVVCOIP,2020-10-22,2021-10-22,2021-10-22,7,1,$22.58M,$9.54M,274107005,273612090,72143673,43496576,0.0193,0.1703,18280258,74300,4,,,NA,NA,$43.71M,1,1,1.0,A,107965969,NA,NA,4,Commercial Real Estate,0,0,9999-12-31,3,4,0.0406,2,0.025,NONE,0.0206,1,ENT-27759573,Collins Group,A,2025-01-08,2024-02-21,11443644,1019982,71123691,73501801,14201763,51316227,57968630,56606747,59946276,122124737,137604024,242007829,126367610,490500176,501726012,40130034,39216642,67783605,41698265,149611904,168712938,159074094,NA,308685998,25081963,NA,3,NA,NA,NA,NA,1,2024-03-29,USD,3,1,0,NA,2,0.6321,0
CUST-34602456,IOB-34602456,IOB-34602456,Brown-Sherman,FAC-34602456,FAC-34602456,Villarrealfort,US,61857,541511,1,541511,NYSE,UMIC,NA,549300QAEFOMANYTOLPR,549300QAEFOMANYTOLPR,2021-09-22,2023-09-22,2023-09-22,6,1,$15.47M,$9.63M,219708543,209580813,44390568,54933383,0.0847,0.0505,13034876,66222,4,,,NA,NA,$44.05M,0,1,1.0,B,041609194,NA,NA,2,Corporate Banking,0,0,9999-12-31,4,1,0.0449,5,NA,NONE,0.0249,1,ENT-34602456,Brown-Sherman,B,2024-11-02,2023-11-01,7082004,495358,43895210,47186830,15597232,41701874,38013005,37145853,31981275,94444959,93653518,181465294,93658117,369568370,400116257,30692022,30916598,41338722,19354469,91385213,93020286,101526460,NA,192911673,17437133,NA,3,NA,NA,NA,NA,1,2025-02-15,USD,2,1,0,NA,0,NA,0
CUST-78105364,IOB-78105364,IOB-78105364,Henderson-Smith,FAC-78105364,FAC-78105364,Port Justin,US,45960,488510,1,488510,NASDAQ,SEYG,NA,549300OPLLWFWTWLINHL,549300OPLLWFWTWLINHL,2022-02-11,2023-02-11,2023-02-11,6,1,$9.86M,$6.93M,51256768,45169134,13838682,9390163,0.0773,0.0819,8271037,62405,4,,,NA,NA,$18.89M,1,1,1.0,CCC,424705002,NA,NA,2,Middle Market,0,0,9999-12-31,1,1,0.0309,5,NA,0.0809,NONE,1,ENT-78105364,Henderson-Smith,CCC,2024-05-31,2023-11-15,2515102,397012,13441670,12471544,4509019,8151338,7584160,10887700,10591810,23548057,23915739,39695835,26540052,89783944,101863115,6758125,6028476,14028649,5048368,25835142,28893135,36901905,NA,62737047,2713638,NA,3,NA,NA,NA,NA,1,2024-07-09,USD,3,1,0,NA,2,0.4795,0
CUST-14627004,IOB-14627004,IOB-14627004,Hodges Group,FAC-14627004,FAC-14627004,West Ruthbury,GB,24508,488510,1,488510,NYSE,CEQC,NA,549300RFMMEWZTAAARLS,549300RFMMEWZTAAARLS,2020-06-18,2022-06-18,2022-06-18,7,11,$16.74M,$10.02M,94942059,92243276,21325860,26021869,0.2029,0.1168,15090056,396768,4,,,NA,NA,$45.34M,0,4,0.4798,AA,NA,NA,NA,11,Corporate Banking,0,0,9999-12-31,2,1,0.0702,5,NA,NONE,0.0502,1,ENT-14627004,Hodges Group,AA,2025-03-04,2023-09-09,3434326,978909,20346951,19716089,13805400,10775935,10723418,16803901,17004755,41385236,37188945,88923859,70120705,200429800,227802676,6965582,7223306,18499219,7721262,33186063,31708023,53653411,11360502,86839474,10235389,NA,1,16739453,10024495,15325857,9026735,2,2024-11-01,USD,3,1,0,NA,2,0.9256,0
CUST-88575571,IOB-88575571,IOB-88575571,Melton-Nelson,FAC-88575571,FAC-88575571,Armstrongchester,DE,54480,522110,1,522110,NYSE,DGUH,NA,549300IHRXHRMDTNRQDW,549300IHRXHRMDTNRQDW,2021-03-02,2025-03-01,2025-03-01,8,11,$29.19M,$22.88M,338266095,357778288,93828029,70339871,0.1928,0.1224,26167945,689052,4,,,NA,NA,$50.65M,6,5,0.9498,AA,609866962,NA,NA,4,Middle Market,0,0,9999-12-31,3,1,0.0558,5,NA,NONE,NONE,1,ENT-88575571,Melton-Nelson,AA,2024-10-13,2023-10-23,15915943,1173388,92654641,98902346,19124088,44491812,45018923,77487398,73274078,141103298,146432404,322838151,218636692,682578141,627895333,27020777,30020884,35265553,49036474,111322804,112289212,262368343,67513455,373691147,29531516,SNC-88575571,3,NA,NA,NA,NA,1,2024-10-25,USD,1,1,0,NA,3,0.9857,0
CUST-52029930,IOB-52029930,IOB-52029930,Peters-Jones,FAC-52029930,FAC-52029930,North Pamela,US,68601,522110,1,522110,NYSE,FNHF,NA,549300MXXIRHRJCVRUVE,549300MXXIRHRJCVRUVE,2022-09-20,2023-09-20,2023-09-20,6,1,$10.83M,$4.77M,58728337,50233999,17510344,16245626,0.1919,0.1493,9706467,310414,4,,,NA,NA,$14.74M,0,4,0.9503,A,452363087,NA,NA,2,Corporate Banking,0,0,9999-12-31,1,3,0.059,1,0.0358,NONE,NONE,1,ENT-52029930,Peters-Jones,A,2025-02-21,2023-05-04,1815353,636129,16874215,18525554,7639204,9571414,8756859,11852907,12198801,29063525,29281776,41350232,35595196,106008953,105728654,8603751,9629583,11315550,6739222,26658523,28640890,24310364,10102763,50968887,5187758,NA,3,NA,NA,NA,NA,1,2025-01-25,USD,3,2,0,NA,3,0.1319,0
CUST-67663718,IOB-67663718,IOB-67663718,Roberts Inc,FAC-67663718,FAC-67663718,New Kristine,GB,69288,522110,1,522110,NYSE,RESA,NA,549300KWCQIDUNSOEQYT,549300KWCQIDUNSOEQYT,2022-04-12,2025-04-11,2025-04-11,6,11,$14.85M,$13.03M,90521258,101233904,27040628,15183773,0.1239,0.0761,12801865,140005,4,,,NA,NA,$32.36M,1,4,0.5691,BBB,440436138,NA,NA,11,Small Business,0,0,9999-12-31,2,2,0.0571,2,0.0197,0.1071,0.0371,1,ENT-67663718,Roberts Inc,BBB,2024-03-25,2024-03-18,5081127,447867,26592761,29145242,6595606,17277804,14691939,18612815,20045829,42486225,39410498,61305807,39253574,143045606,135597231,13268546,11739387,15871913,3719399,32859858,36001386,40859439,NA,73719297,3997692,NA,3,NA,NA,NA,NA,1,2024-08-05,USD,3,2,0,NA,4,0.8099,0
CUST-27121936,IOB-27121936,IOB-27121936,Jones-Moran,FAC-27121936,FAC-27121936,Gonzalezshire,CA,26272,522110,1,522110,NYSE,HONP,NA,549300UFDVHKYRDMFGTN,549300UFDVHKYRDMFGTN,2020-07-12,2021-07-12,2021-07-12,7,1,$12.69M,$10.44M,186917616,213210075,49056112,30909581,0.25,0.0482,11733972,152858,4,,,NA,NA,$25.40M,0,5,0.4836,BB,746159043,NA,NA,7,Corporate Banking,0,0,9999-12-31,1,2,0.0593,7,0.0367,0.1093,NONE,1,ENT-27121936,Jones-Moran,BB,2025-02-09,2023-08-24,9367384,706839,48349273,55087041,23553378,26959104,25438222,34032889,36324214,84545371,90780685,127130831,139674025,351350227,374004310,20726835,20549822,38999717,11048604,70775156,64483978,81583146,NA,152358302,20304324,SNC-27121936,3,NA,NA,NA,NA,1,2024-12-30,USD,1,2,0,NA,1,0.655,0
CUST-2206171,IOB-2206171,IOB-2206171,Miller Group,FAC-2206171,FAC-2206171,Theresamouth,US,10226,488510,1,488510,NYSE,AFHE,NA,549300SSQXLEEKHCXTJE,549300SSQXLEEKHCXTJE,2022-06-13,2026-06-12,2026-06-12,6,1,$11.73M,$7.62M,90211046,98263982,17731368,16937359,0.25,0.1156,10851226,339027,4,,,NA,NA,$20.24M,1,4,0.8019,A,628569565,NA,NA,8,Corporate Banking,0,0,9999-12-31,1,2,0.0571,1,0.029,NONE,NONE,1,ENT-2206171,Miller Group,A,2024-11-12,2024-02-19,1928936,475328,17256040,14839520,5219417,12601791,11213259,18651502,19711643,36472710,39761673,61348933,42127930,139949573,123347404,9967122,10584512,9590988,13743244,33301354,28825365,55616782,15714207,88918136,7221093,NA,3,NA,NA,NA,NA,1,2024-09-04,USD,3,1,0,NA,3,0.6377,0
CUST-6313518,IOB-6313518,IOB-6313518,"Harrison, Bowers and Wilson",FAC-6313518,FAC-6313518,Lake Dennistown,US,37143,522110,1,522110,NYSE,ZYCP,NA,549300TBUEAKNDTISSJZ,549300TBUEAKNDTISSJZ,2022-09-28,2025-09-27,2025-09-27,7,11,$13.40M,$8.97M,111059859,110066404,29057908,39862590,0.25,0.0501,12391822,167791,1,"Wilson, Casey and Wright",422531840,GUAR-19907572,BB,$17.82M,0,1,1.0,BBB,NA,NA,NA,5,Middle Market,0,0,9999-12-31,1,2,0.0423,2,0.0367,0.0923,NONE,1,ENT-6313518,"Harrison, Bowers and Wilson",BBB,2025-03-05,2024-01-14,4319948,752923,28304985,31707543,10236619,14180431,14573301,26791673,24466119,51208723,53097811,94692311,76991715,222892749,198256481,11553470,12971193,15097102,7608177,34258749,39103570,52463653,10934461,86722402,9602645,NA,3,NA,NA,NA,NA,1,2024-07-08,USD,1,1,0,NA,0,NA,0
CUST-82431037,IOB-82431037,IOB-82431037,"Davis, Martinez and Porter",FAC-82431037,FAC-82431037,Steinville,DE,83336,488510,1,488510,NASDAQ,KGNM,NA,549300VTVSGUPVLTJYIU,549300VTVSGUPVLTJYIU,2021-12-31,2022-12-31,2022-12-31,7,1,$14.45M,$6.38M,82846984,74639116,18886303,15807895,0.25,0.1286,13362492,464436,4,,,NA,NA,$21.68M,0,1,1.0,BB,178200439,NA,NA,5,Corporate Banking,581933,0,9999-12-31,3,2,0.0524,2,0.0397,NONE,NONE,1,ENT-82431037,"Davis, Martinez and Porter",BB,2025-02-06,2023-09-06,3097359,530758,18355545,16593470,4876005,9140582,9372763,18128642,17570528,32145229,31951365,72440334,33714739,138300302,130961976,8152753,8348693,12497046,8500730,29150529,27774508,50776750,NA,79927279,3818917,NA,2,14445938,6379763,15716659,6676930,1,2024-08-04,USD,3,1,0,NA,4,0.967,0
CUST-81308676,IOB-81308676,IOB-81308676,Price Group,FAC-81308676,FAC-81308676,North Susanfort,US,61411,522110,1,522110,,NA,NA,549300PBCMFAXCPUXVQT,549300PBCMFAXCPUXVQT,2020-04-07,2022-04-07,2022-04-07,6,11,$16.39M,$6.03M,212299520,238965049,50971295,73443282,0.25,0.2408,15158277,986517,2,Rowland Group,194571825,GUAR-50793047,CCC,$48.49M,0,4,0.8041,BB,186857692,NA,NA,11,Small Business,0,0,9999-12-31,2,2,0.0657,1,0.0229,0.1157,NONE,1,ENT-81308676,Price Group,BB,2024-05-21,2023-10-24,8405547,653058,50318237,52283799,23561676,33191733,32001009,43489550,44748382,100242959,101616895,165119727,86165332,351528018,360709406,21592328,22515892,53471639,21241296,96305263,97529216,165719185,38818394,262024448,15628377,NA,3,16387327,6028338,15236909,6060437,1,2025-03-11,USD,3,2,0,NA,1,0.7439,0
CUST-86815534,IOB-86815534,IOB-86815534,"Martin, Freeman and Nichols",FAC-86815534,FAC-86815534,West Angela,CA,49265,522110,1,522110,NYSE,XQLL,NA,549300MYEZXQMCTVXRWQ,549300MYEZXQMCTVXRWQ,2024-11-20,2028-11-19,2028-11-19,14,11,$10.17M,$5.97M,70626392,63556653,17134157,17529694,0.1892,0.152,9096929,292479,2,English Group,742043857,GUAR-91859142,AA,$17.19M,0,1,1.0,A,NA,NA,NA,10,Middle Market,0,0,9999-12-31,1,2,0.0311,2,0.0351,0.0811,NONE,1,ENT-86815534,"Martin, Freeman and Nichols",A,2025-02-11,2023-07-09,3343565,488581,16645576,18239500,9776150,8673484,7924211,14909097,14511151,33358731,36759933,67801989,38234907,139395627,128391898,7235053,6746265,18682295,6416308,32333656,33958906,30949482,NA,63283138,5550820,NA,3,NA,NA,NA,NA,1,2024-03-26,USD,2,1,0,NA,4,0.1861,0
CUST-28251426,IOB-28251426,IOB-28251426,"Fox, Weber and Morgan",FAC-28251426,FAC-28251426,Rodneyshire,US,50171,522110,1,522110,NYSE,NLKI,NA,549300AVERORKQHVETUM,549300AVERORKQHVETUM,2024-03-08,2026-03-08,2026-03-08,7,1,$12.86M,$8.46M,151201084,148602707,32790773,40152854,0.1124,0.0414,11009760,59829,4,,,NA,NA,$36.39M,1,1,1.0,BB,879187494,NA,NA,3,Corporate Banking,0,0,9999-12-31,1,1,0.0511,5,NA,NONE,0.0311,1,ENT-28251426,"Fox, Weber and Morgan",BB,2024-03-25,2023-10-26,5049818,725276,32065497,33516884,15618433,20024069,19020874,32802878,37665635,68445380,71768523,124455633,104670493,297571506,294465360,12375729,12607019,44078904,9228762,65683395,69427444,72632990,NA,138316385,11478966,NA,3,NA,NA,NA,NA,1,2024-10-07,USD,3,2,0,NA,4,0.2078,12875
